評論者,星等,評論內容
sunny,5,"整體主餐份量都很足夠，一個人吃單點一個主餐就夠了！！
主餐三個都好吃，但是點心類比較不行

✨乾炒牛河
最推薦的！！炒的氣味很香，肉咬起來嫩也很多，一致好評第一

✨xo醬牛肉炒公仔麵
有一種乾拌麵的感覺，肉也很多，調味也好吃，底下還有油菜跟高麗菜（應該是時蔬相同）

😈煎腸粉
不太像腸粉，不好吃，要把肚子留給更好吃的東西

😖芝麻糊奶酪
芝麻糊剛上桌是熱的，但是會變成第一道菜，所以有點怪，中間的奶酪就是常見的牛奶布丁（藍色包裝），芝麻不太甜
兩個搭配起來其實還不錯

店員服務很不錯，會主動過來幫忙續水，另外好像多做（不確定實情）就直接送我們一份

5個人吃了1500（4女1男，男性食量大，女生食量不大），超級超級飽"
Jia-yun Chen,5,生意好，炒麵炒河粉不錯吃。環境清爽。有洗手間。
Angela Yang,3,"西多士很好吃，搭配內餡花生醬，淋上蜂蜜，真的好吃！
菠蘿油：感覺菠蘿麵包香氣不夠，自己覺得相對普通。
鹹食餐點普普。

服務生大部分都ok，但接待入座的服務生若能親切一點會更好！
店內如香港，需併桌！"
Christy Ni,5,鹹魚雞粒炒飯、牛肉蛋湯麵、炒蘿蔔糕、涷鳶鴦…..我們點的每樣餐點都超好吃，本來以為搬家找不到，沒想到就在原址附近的愛國東路上，真是太開心了🥰
潘奕涵,2,餐點都很油。店員拼翻桌率。一直看你吃完了沒。快速收拾。吃飯壓力超大。不會再來
醉 微 微 Yoiweiwei (yiris000),5,"【幸運日】
今天第一次來吃這間港式茶餐廳，排隊的人非常多，一定要提早來。（我們差一點就跟""提早""錯過了）

店員都是香港人的口音！店內有雙人座跟四人座，如果雙人要做四人桌，需要跟人併桌😆！

我們非常的幸運！前面的兩位客人，我詢問他菜單上哪一個料理是好吃的🤣，很幸運的問到了兩位老饕客！他們還邀請我們與他們併桌享用美好的港式晚餐～（真是不敢置信🤣認識不到三分鐘的人，老饕客直接跟店內服務小姐說，我們四個人，可以坐四人桌了～）

這位老饕客溫和有禮，我們互相點餐用湯匙分食😂並聊著旅遊故事，原來他們曾有待過香港一段時光，他們說到在香港併桌是個很常見的事。

這裡的餐點真的很好吃！而且老闆人也超好！他講話雖然直接感覺好像很兇（但老闆偷偷招待了我們奶黃包😆，我想一定是老饕客嘴甜，我們才有幸能遇到這份小確幸）

聽老饕的建議，第一次來建議點""今日例湯""
這個東西會在小黑板上出現，我喝完之後也覺得以後都要來喝！湯是用無花果跟雞肉下去調理的，每一次的料理都不一樣。不得不說香港人真的很會煲湯耶！

❤總結美食以下：
①今日例湯（每次都不一樣，今天是無花果湯）
②鹹魚乾粒炒飯（炒飯是粒粒分明的那種！）
③小公仔麵（幾乎都很好吃）
④芝多士（我有點忘記口味，好像裡面是有花生醬外面有奶油的）

希望下次還能遇到神秘的饕客！感謝老闆做得好吃餐點www

最後感謝笑起來有酒窩的小姐姐，她好貼心的一直來桌邊服務，但又被老饕客逗到氣噗噗🤣"
Penny Lin,4,"上菜快速
味道尚可
如果要排隊超過15分鐘會選別的餐廳
辣椒醬不錯👍"
Maggie Chang,5,道地的港式茶餐廳，口味正宗。蝦米煎腸粉、炒河粉、蘿蔔糕都很出色，每日煲湯更是每次來訪必點。
Liu,5,"服務人員大部分都是香港人
現場雖然忙碌但服務還是很親切
餐點都很好吃份量不會太大吃不完
首推腐乳高麗菜😍
炸豬排還有臘味飯也都好讚～
整體cp值很高～～
11點初來位置很多，吃飽門口就打排隊了（而且是平日）建議一開門就來👍🏻"
Shine Lin,3,"蒸排骨飯 $150

比想像中的份量更少一些，調味尚可
不過每樣食物都偏油"
